Date (UTC), Gas Price Average, Gas Price Min, Gas Price Max
2017-01-01,22502464773,7000000000,527000000000
2017-01-02,22989772352,200000000,476190476190
2017-01-03,23220439902,1000000,527000000000
2017-01-04,23038159919,100000000,527000000000
2017-01-05,22939235415,100000,476190476190
2017-01-06,23009819425,7000000000,476190476190
2017-01-07,22843513981,100000000,476190476190
2017-01-08,22998988736,100000000,476190476190
2017-01-09,23091635207,7000000000,476190476190
2017-01-10,22532703925,7000000000,476190476190
2017-01-11,22676639926,7000000000,476190476190
2017-01-12,23040753981,7000000000,527000000000
2017-01-13,22119879499,7000000000,527000000000
2017-01-14,22409886093,205000000,476190476190
2017-01-15,22419878847,7000000000,476190476190
2017-01-16,22395773525,7000000000,476190476190
2017-01-17,22742343222,7000000000,476190476190
2017-01-18,22420105832,7000000000,527000000000
2017-01-19,22228644380,20,476190476190
2017-01-20,22369863556,20,476190476190
2017-01-21,22405633901,7000000000,476190476190
2017-01-22,22118050371,7000000000,476190476190
2017-01-23,22267116021,5000000000,527000000000
2017-01-24,22081334070,7000000000,476190476190
2017-01-25,22329866070,22360,527000000000
2017-01-26,22478987111,7000000000,476190476190
2017-01-27,22449741445,7000000000,476190476190
2017-01-28,22219721089,7000000000,476190476190
2017-01-29,22393586898,21000,476190476190
2017-01-30,22234080218,7000000000,476190476190
2017-01-31,23010693003,7000000000,476190476190
2017-02-01,22534983936,7000000000,476190476190
2017-02-02,22623466807,150000000,476190476190
2017-02-03,22508635957,7000000000,527000000000
2017-02-04,22623314914,300000000,476190476190
2017-02-05,22331019732,7000000000,476190476190
2017-02-06,22488425969,1000000,476190476190
2017-02-07,22381838948,7000000000,476190476190
2017-02-08,22770223820,7000000000,527000000000
2017-02-09,22865377988,7000000000,10000000000000
2017-02-10,22403621823,7000000000,476190476190
2017-02-11,22195555854,7000000000,476190476190
2017-02-12,22626108892,41000000,476190476190
2017-02-13,23210412106,7000000000,820000000000
2017-02-14,22818886821,7000000000,527000000000
2017-02-15,31915437681,1000000000,260000000000000
2017-02-16,22602328224,7000000000,527000000000
2017-02-17,22533195533,7000000000,476190476190
2017-02-18,23057941420,7000000000,527000000000
2017-02-19,22391656238,100000000,476190476190
2017-02-20,22466228953,1000000000,476190476190
2017-02-21,22569187220,2000000,476190476190
2017-02-22,22844411723,7000000000,476190476190
2017-02-23,22741575515,7000000000,476190476190
2017-02-24,22755690878,7000000000,1000000000000
2017-02-25,22580332911,7000000000,1000000000000
2017-02-26,22771424431,7000000000,1000000000000
2017-02-27,23193818563,1000000000,1000000000000
2017-02-28,23580755304,7000000000,1000000000000
2017-03-01,27402631555,5000000000,250000000000000
2017-03-02,23609865289,7000000000,1000000000000
2017-03-03,23008036079,100,1000000000000
2017-03-04,22752613012,7000000000,1000000000000
2017-03-05,22459193729,7000000000,1000000000000
2017-03-06,22683379793,7000000000,527000000000
2017-03-07,22439900327,6000000000,1000000000000
2017-03-08,22717981194,7000000000,1000000000000
2017-03-09,22460423289,10000,1000000000000
2017-03-10,25715550291,7000000000,200000000000000
2017-03-11,22822227019,7000000000,1000000000000
2017-03-12,22944292835,6000000000,1000000000000
2017-03-13,23503094188,4621413782,1000000000000
2017-03-14,22958465248,5000000000,1030000000000
2017-03-15,22877843867,1,1000000000000
2017-03-16,23318234775,5000000000,10000000000000
2017-03-17,27329559604,7000000000,200000000000000
2017-03-18,22588280322,7000000000,1000000000000
2017-03-19,22676654708,5000000000,1000000000000
2017-03-20,22485861954,5000000000,1000000000000
2017-03-21,22401666063,2776297000,20000000000000
2017-03-22,22752454613,3089228032,10000000000000
2017-03-23,22541771175,3000000000,10000000000000
2017-03-24,27441833681,2199999900,400000000000000
2017-03-25,23012529660,7000000000,10000000000000
2017-03-26,22249849693,5000000000,1000000000000
2017-03-27,22247794560,2406947413,10000000000000
2017-03-28,22247087954,5000000000,1000000000000
2017-03-29,22264312196,2000,1000000000000
2017-03-30,22337722011,200000000,15000000000000
2017-03-31,22421222086,7000000000,1000000000000
2017-04-01,22145659410,7000000000,1000000000000
2017-04-02,22176202916,15,1000000000000
2017-04-03,22176569227,7000000000,1000000000000
2017-04-04,22335006404,7000000000,1000000000000
2017-04-05,22438228964,4761904761,1000000000000
2017-04-06,22774967565,7000000000,1000000000000
2017-04-07,22133175527,4334690091,1000000000000
2017-04-08,22134943280,7000000000,1000000000000
2017-04-09,21963656913,5000000000,1000000000000
2017-04-10,22330645586,5000000000,1000000000000
2017-04-11,22007626117,5000000000,1000000000000
2017-04-12,23067711028,5000000000,1000000000000
2017-04-13,22310955741,21001,2000000000000
2017-04-14,22257379067,4761904761,1000000000000
2017-04-15,22240477959,5000000000,1000000000000
2017-04-16,22100218538,2000000000,476190476190
2017-04-17,22255010723,5000000000,10000000000000
2017-04-18,22747420158,4761904761,10000000000000
2017-04-19,22626922333,5000000000,10000000000000
2017-04-20,22480105997,20000000,1000000000000
2017-04-21,22819358782,5000000000,1000000000000
2017-04-22,22631052480,5000000000,1000000000000
2017-04-23,21898039096,5000000000,1000000000000
2017-04-24,22992421400,5000000000,1000000000000
2017-04-25,21734015245,5000000000,1000000000000
2017-04-26,22048839796,5000000000,1000000000000
2017-04-27,22377947330,2000000000,1000000000000
2017-04-28,22130700584,2000000000,1000000000000
2017-04-29,22799209590,2000000000,50000000000000
2017-04-30,22541845100,1565102859,1000000000000
2017-05-01,22989649815,1582387590,1000000000000
2017-05-02,22975461233,1973999998,3000000000000
2017-05-03,22182605256,2000000000,1000000000000
2017-05-04,22523480694,2000000000,1000000000000
2017-05-05,22905913235,1346138675,1000000000000
2017-05-06,22254507120,20000,1000000000000
2017-05-07,22863576069,2000000000,1419115950939
2017-05-08,22304778708,1333333334,1000000000000
2017-05-09,22419891708,2000000000,1000000000000
2017-05-10,22141501610,2000000000,1000000000000
2017-05-11,22276386524,2000000000,1000000000000
2017-05-12,22224260597,2000000000,2199023255552
2017-05-13,22176736929,1501543700,2000000000000
2017-05-14,22054420864,1479855027,2000000000000
2017-05-15,22225479222,2000000000,1000000000000
2017-05-16,22338079736,1666666666,2000000000000
2017-05-17,26658490658,1500000000,20000000000000
2017-05-18,22641931556,1500000000,1092331758592
2017-05-19,22510140833,2,4000000000000
2017-05-20,22578527232,1500000000,1000000000000
2017-05-21,22366670221,1500000000,4100000000000
2017-05-22,22950916506,758221094,2000000000000
2017-05-23,22876914693,1000000000,2000000000000
2017-05-24,23511877462,1000000000,1000000000000
2017-05-25,22627478169,1000000000,1000000000000
2017-05-26,22767260891,1000,1000000000000
2017-05-27,22312210827,885591238,1000000000000
2017-05-28,21916364414,750000000,9000000000000
2017-05-29,22429141176,650000000,21000000000001
2017-05-30,24758885831,600000000,100000000000000
2017-05-31,38210063774,587309395,580000000000000
2017-06-01,23808562950,210000001,1805577833026
2017-06-02,22913829909,10000,1521000000000
2017-06-03,22677818318,1,1000000000000
2017-06-04,23508783552,110000000,2000000000000
2017-06-05,22886137204,1,10000000000000
2017-06-06,23539130279,11000,10000000000000
2017-06-07,23555770569,2400,1000000000000
